Time,T1(K),T2(K),T3(K),V1(V),V2(V),Power(W)
1.46000003815, 290.13, 500.0, 290.53, 0.0003489, 0.0003791, 1.56139004e-06
5.15000009537, 290.12, 500.0, 290.53, 0.0003500, 0.0003781, 1.56150816e-06
8.77999997139, 290.12, 500.0, 290.53, 0.0003484, 0.0003784, 1.55935004e-06
12.4100000858, 290.12, 500.0, 290.53, 0.0003504, 0.0003762, 1.54288648e-06
15.9600000381, 290.12, 500.0, 290.53, 0.0003503, 0.0003740, 1.55111866e-06
19.5799999237, 290.12, 500.0, 290.53, 0.0003493, 0.0003748, 1.54055647e-06
23.2100000381, 290.12, 500.0, 290.53, 0.0003505, 0.0003769, 1.54618147e-06
26.75, 290.12, 500.0, 290.53, 0.0003506, 0.0003725, 1.54156658e-06
30.379999876, 290.12, 500.0, 290.53, 0.0003508, 0.0003713, 1.5379278e-06
34.0099999905, 290.13, 500.0, 290.53, 0.0003510, 0.0003735, 1.55219584e-06
37.5499999523, 290.13, 500.0, 290.53, 0.0003496, 0.0003736, 1.55103646e-06
41.1800000668, 290.13, 500.0, 290.53, 0.0003493, 0.0003737, 1.53868552e-06
44.8099999428, 290.13, 500.0, 290.53, 0.0003485, 0.0003755, 1.53684425e-06
48.3499999046, 290.13, 500.0, 290.53, 0.0003495, 0.0003743, 1.5290783e-06
51.9800000191, 290.13, 500.0, 290.53, 0.0003493, 0.0003724, 1.53710562e-06
55.5499999523, 290.12, 500.0, 290.53, 0.0003465, 0.0003733, 1.53051485e-06
59.1800000668, 290.12, 500.0, 290.53, 0.0003456, 0.0003753, 1.53079407e-06
62.8099999428, 290.08, 500.0, 290.53, 0.0003450, 0.0003747, 1.51187669e-06
66.3599998951, 290.02, 500.0, 290.52, 0.0003445, 0.0003757, 1.514676e-06
69.9900000095, 289.95, 500.0, 290.52, 0.0003473, 0.0003740, 1.51265726e-06
73.5599999428, 289.88, 500.0, 290.51, 0.0003510, 0.0003719, 1.51611573e-06
77.1900000572, 289.8, 500.0, 290.5, 0.0003486, 0.0003725, 1.50265771e-06
80.8199999332, 289.72, 500.0, 290.48, 0.0003472, 0.0003729, 1.50926701e-06
84.3599998951, 289.63, 500.0, 290.45, 0.0003493, 0.0003734, 1.51784855e-06
87.9900000095, 289.55, 500.0, 290.43, 0.0003507, 0.0003732, 1.52208554e-06
91.5599999428, 289.46, 500.0, 290.4, 0.0003482, 0.0003732, 1.5117331e-06
95.1900000572, 289.37, 500.0, 290.37, 0.0003473, 0.0003732, 1.51497363e-06
98.8199999332, 289.29, 500.0, 290.33, 0.0003451, 0.0003717, 1.52191762e-06
102.359999895, 289.2, 500.0, 290.3, 0.0003435, 0.0003725, 1.52707628e-06
105.99000001, 289.11, 500.0, 290.26, 0.0003415, 0.0003726, 1.51984057e-06
109.549999952, 289.02, 500.0, 290.21, 0.0003446, 0.0003737, 1.51578388e-06
113.180000067, 288.93, 500.0, 290.17, 0.0003484, 0.0003728, 1.53073233e-06
116.799999952, 288.83, 500.0, 290.12, 0.0003506, 0.0003710, 1.51493862e-06
120.369999886, 288.75, 500.0, 290.07, 0.0003476, 0.0003723, 1.52818745e-06
124.0, 288.66, 500.0, 290.02, 0.0003443, 0.0003715, 1.53200835e-06
127.629999876, 288.57, 500.0, 289.96, 0.0003407, 0.0003721, 1.52347263e-06
131.369999886, 288.48, 500.0, 289.91, 0.0003401, 0.0003708, 1.53037593e-06
135.0, 288.39, 500.0, 289.85, 0.0003431, 0.0003714, 1.52565428e-06
138.629999876, 288.31, 500.0, 289.8, 0.0003454, 0.0003737, 1.51275299e-06
142.369999886, 288.22, 500.0, 289.74, 0.0003462, 0.0003742, 1.52132645e-06
146.0, 288.13, 500.0, 289.68, 0.0003466, 0.0003730, 1.53390624e-06
149.629999876, 288.03, 500.0, 289.61, 0.0003437, 0.0003699, 1.53823407e-06
153.369999886, 287.95, 500.0, 289.54, 0.0003440, 0.0003691, 1.54346299e-06
157.0, 287.86, 500.0, 289.48, 0.0003433, 0.0003689, 1.5373613e-06
160.629999876, 287.78, 500.0, 289.42, 0.0003429, 0.0003691, 1.53129611e-06
164.170000076, 287.7, 500.0, 289.35, 0.0003451, 0.0003704, 1.5403964e-06
167.799999952, 287.61, 500.0, 289.29, 0.0003446, 0.0003705, 1.5405451e-06
171.430000067, 287.53, 500.0, 289.22, 0.0003422, 0.0003714, 1.54219003e-06
174.970000029, 287.44, 500.0, 289.16, 0.0003431, 0.0003709, 1.54926465e-06
178.609999895, 287.36, 500.0, 289.09, 0.0003431, 0.0003696, 1.53912708e-06
182.170000076, 287.27, 500.0, 289.02, 0.0003423, 0.0003708, 1.53965834e-06
185.799999952, 287.19, 500.0, 288.96, 0.0003379, 0.0003732, 1.54477709e-06
189.430000067, 287.12, 500.0, 288.89, 0.0003412, 0.0003711, 1.54452073e-06
192.980000019, 287.04, 500.0, 288.82, 0.0003424, 0.0003697, 1.54688348e-06
196.609999895, 286.95, 500.0, 288.75, 0.0003469, 0.0003693, 1.54207601e-06
200.180000067, 286.87, 500.0, 288.68, 0.0003490, 0.0003687, 1.55056784e-06
203.809999943, 286.79, 500.0, 288.61, 0.0003485, 0.0003692, 1.55268503e-06
207.660000086, 286.71, 500.0, 288.55, 0.0003480, 0.0003702, 1.55916257e-06
211.420000076, 286.63, 500.0, 288.48, 0.0003465, 0.0003714, 1.55681505e-06
215.049999952, 286.54, 500.0, 288.4, 0.0003450, 0.0003740, 1.56259671e-06
218.799999952, 286.49, 500.0, 288.33, 0.0003433, 0.0003739, 1.5614977e-06
222.430000067, 286.38, 500.0, 288.26, 0.0003427, 0.0003747, 1.56496037e-06
226.0, 286.31, 500.0, 288.19, 0.0003414, 0.0003722, 1.57185696e-06
229.629999876, 286.23, 500.0, 288.12, 0.0003401, 0.0003716, 1.55416001e-06
233.25999999, 286.13, 500.0, 288.05, 0.0003411, 0.0003721, 1.56544343e-06
237.0, 286.05, 500.0, 287.98, 0.0003416, 0.0003731, 1.57423528e-06
240.629999876, 285.97, 500.0, 287.91, 0.0003421, 0.0003738, 1.57767602e-06
244.25999999, 285.89, 500.0, 287.84, 0.0003421, 0.0003743, 1.56366207e-06
248.019999981, 285.81, 500.0, 287.77, 0.0003429, 0.0003757, 1.58575972e-06
251.650000095, 285.72, 500.0, 287.69, 0.0003407, 0.0003763, 1.58777527e-06
255.430000067, 285.63, 500.0, 287.62, 0.0003400, 0.0003771, 1.59909769e-06
259.059999943, 285.55, 500.0, 287.54, 0.0003409, 0.0003765, 1.60989055e-06
262.819999933, 285.47, 500.0, 287.48, 0.0003408, 0.0003767, 1.62261142e-06
266.450000048, 285.39, 500.0, 287.4, 0.0003406, 0.0003782, 1.63524464e-06
270.220000029, 285.3, 500.0, 287.33, 0.0003418, 0.0003774, 1.62970662e-06
273.849999905, 285.21, 500.0, 287.25, 0.0003424, 0.0003792, 1.64487642e-06
277.621999979, 285.14, 500.0, 287.18, 0.0003407, 0.0003789, 1.63006132e-06
281.256000042, 285.06, 500.0, 287.11, 0.0003431, 0.0003792, 1.63460675e-06
285.121000051, 284.98, 500.0, 287.04, 0.0003451, 0.0003800, 1.62916785e-06
288.86500001, 284.89, 500.0, 286.96, 0.0003433, 0.0003806, 1.65042673e-06
292.638999939, 284.83, 500.0, 286.89, 0.0003425, 0.0003801, 1.66064888e-06
296.273999929, 284.73, 500.0, 286.82, 0.0003423, 0.0003793, 1.65994697e-06
300.038000107, 284.67, 500.0, 286.75, 0.0003419, 0.0003785, 1.65742676e-06
303.671999931, 284.63, 500.0, 286.68, 0.0003436, 0.0003785, 1.65531696e-06
307.236000061, 284.62, 500.0, 286.61, 0.0003470, 0.0003789, 1.66508391e-06
310.871000051, 284.57, 500.0, 286.54, 0.0003472, 0.0003782, 1.67907967e-06
314.504999876, 284.51, 500.0, 286.47, 0.0003460, 0.0003769, 1.67258327e-06
318.249000072, 284.44, 500.0, 286.4, 0.0003463, 0.0003758, 1.6858038e-06
321.904000044, 284.32, 500.0, 286.31, 0.0003455, 0.0003752, 1.70125179e-06
325.687999964, 284.25, 500.0, 286.24, 0.0003470, 0.0003749, 1.68791848e-06
329.312000036, 284.17, 500.0, 286.17, 0.0003463, 0.0003745, 1.70017483e-06
333.066999912, 284.09, 500.0, 286.1, 0.0003500, 0.0003747, 1.71371937e-06
336.700999975, 284.0, 500.0, 286.03, 0.0003494, 0.0003769, 1.7212576e-06
340.275000095, 283.94, 500.0, 285.96, 0.0003501, 0.0003773, 1.72268949e-06
343.90899992, 283.86, 500.0, 285.89, 0.0003450, 0.0003772, 1.73633441e-06
347.48300004, 283.82, 500.0, 285.82, 0.0003436, 0.0003765, -5.70350949e-08
351.118000031, 283.76, 500.0, 285.75, 0.0003429, 0.0003756, -5.84621738e-08
354.691999912, 283.69, 500.0, 285.68, 0.0003429, 0.0003768, -4.2845226e-08
358.325999975, 283.56, 500.0, 285.61, 0.0003430, 0.0003744, -4.27568452e-08
361.960000038, 283.47, 500.0, 285.54, 0.0003420, 0.0003745, -4.82114793e-08
